Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
Dementie DJD Hypertensie Baarmoederhalskanker / bestralingstherapie 30 jaar geleden DVT in linkerbeen 30 jaar geleden 	 de patiënt heeft alzheimers 	 neutral 
Zijn gezichtsveld, gezichtsvermogen en begrip waren allemaal intact; maar hij voelde dat zijn L-hand traag was en verantwoordelijk voor het nieuw ontdekte tekort. 	 Patiënt heeft positieve ROS 	 entailment 
Zijn gezichtsveld, gezichtsvermogen en begrip waren allemaal intact; maar hij voelde dat zijn L-hand traag was en verantwoordelijk voor het nieuw ontdekte tekort. 	 De patiënt heeft een positief lichamelijk onderzoek 	 contradiction 
Zijn gezichtsveld, gezichtsvermogen en begrip waren allemaal intact; maar hij voelde dat zijn L-hand traag was en verantwoordelijk voor het nieuw ontdekte tekort. 	 Patiënt heeft negatief CT hoofd onderzoek 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 18-jarige man zonder noemenswaardige medische voorgeschiedenis die betrokken was bij een auto-ongeluk, waarbij hij met hoge snelheid van achteren werd aangereden op de [**Staat **] Turnpike, waarbij hij ongeveer vier voet in de achterkant van de mini [**Doctor Achternaam **] drong en langdurig uit de auto werd getrokken. 	 De patiënt had een groot trauma. 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 18-jarige man zonder noemenswaardige medische voorgeschiedenis die betrokken was bij een auto-ongeluk, waarbij hij met hoge snelheid van achteren werd aangereden op de [**Staat **] Turnpike, waarbij hij ongeveer vier voet in de achterkant van de mini [**Doctor Achternaam **] drong en langdurig uit de auto werd getrokken. 	 De patiënt komt voor een poliklinisch bezoek. 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 18-jarige man zonder noemenswaardige medische voorgeschiedenis die betrokken was bij een auto-ongeluk, waarbij hij met hoge snelheid van achteren werd aangereden op de [**Staat **] Turnpike, waarbij hij ongeveer vier voet in de achterkant van de mini [**Doctor Achternaam **] drong en langdurig uit de auto werd getrokken. 	 De patiënt heeft letsel aan de vaste organen. 	 neutral 
Hij werd op vrijdag (3de PTA) "pijnlijk en misselijk wakker". 	 De patiënt heeft symptomen van enteritis 	 entailment 
Hij werd op vrijdag (3de PTA) "pijnlijk en misselijk wakker". 	 Patiënt heeft geen klachten 	 contradiction 
Hij werd op vrijdag (3de PTA) "pijnlijk en misselijk wakker". 	 De patiënt heeft een virale ziekte 	 neutral 
Volgens de IR collega was het plan om 24 uur met Unasyn te behandelen vanwege de galblaasperforatie. 	 De patiënt heeft een intraperitoneale infectie 	 entailment 
Volgens de IR collega was het plan om 24 uur met Unasyn te behandelen vanwege de galblaasperforatie. 	 De patiënt heeft een intacte galblaas. 	 contradiction 
Volgens de IR collega was het plan om 24 uur met Unasyn te behandelen vanwege de galblaasperforatie. 	 De patiënt had een acute cholecystitis. 	 neutral 
Zijn katheterisatie in [**Ziekenhuis6 2864**] toonde 50% linker hoofdslagader, 80% linker anterior descending, 70% rechter kransslagader met een ejectiefractie van 20%. 	 De patiënt heeft een hartziekte 	 entailment 
Zijn katheterisatie in [**Ziekenhuis6 2864**] toonde 50% linker hoofdslagader, 80% linker anterior descending, 70% rechter kransslagader met een ejectiefractie van 20%. 	 De hartfunctie van de patiënt is normaal 	 contradiction 
Zijn katheterisatie in [**Ziekenhuis6 2864**] toonde 50% linker hoofdslagader, 80% linker anterior descending, 70% rechter kransslagader met een ejectiefractie van 20%. 	 De patiënt heeft een geschiedenis van hypertensie, hoge cholesterol en kortademigheid 	 neutral 
Op [**3242-2-14**] werd hij opnieuw opgenomen wegens toenemende dyspneu en klachten van pijn op de borst. 	 de patiënt pijn op de borst heeft 	 entailment 
Op [**3242-2-14**] werd hij opnieuw opgenomen wegens toenemende dyspneu en klachten van pijn op de borst. 	 de patiënt ontkent pijn op de borst 	 contradiction 
Op [**3242-2-14**] werd hij opnieuw opgenomen wegens toenemende dyspneu en klachten van pijn op de borst. 	 de patiënt heeft een acute infact 	 neutral 
Een echo die toen werd gemaakt toonde aan dat haar EF 20 tot 25 procent was met een akinetische apex en globale hypokinesis, lichte tot matige MR en lichte TR met lichte pulmonale hypertensie. 	 Echo was abnormaal 	 entailment 
Een echo die toen werd gemaakt toonde aan dat haar EF 20 tot 25 procent was met een akinetische apex en globale hypokinesis, lichte tot matige MR en lichte TR met lichte pulmonale hypertensie. 	 De hartecho was normaal 	 contradiction 
Een echo die toen werd gemaakt toonde aan dat haar EF 20 tot 25 procent was met een akinetische apex en globale hypokinesis, lichte tot matige MR en lichte TR met lichte pulmonale hypertensie. 	 De patiënt heeft orthopneu en een geschiedenis van hypertensie 	 neutral 
Patiënt werd begonnen met levophed en dit werd getitreerd tot 0,05 mcg/kg/min voor een bloeddruk van 90/42 met een MAP 59. 	 Patiënt heeft hypotensie 	 entailment 
Patiënt werd begonnen met levophed en dit werd getitreerd tot 0,05 mcg/kg/min voor een bloeddruk van 90/42 met een MAP 59. 	 De patiënt heeft normale vitale functies. 	 contradiction 
Patiënt werd begonnen met levophed en dit werd getitreerd tot 0,05 mcg/kg/min voor een bloeddruk van 90/42 met een MAP 59. 	 Patiënt is opgenomen op ICU 	 neutral 
De zwangerschap werd gecompliceerd door de ontwikkeling van PIH en pre-eclampsie, waardoor de moeder werd opgenomen op [**3231-4-28**]. 	 De patiënt heeft proteïne in haar urine 	 entailment 
De zwangerschap werd gecompliceerd door de ontwikkeling van PIH en pre-eclampsie, waardoor de moeder werd opgenomen op [**3231-4-28**]. 	 De patiënt heeft geen symptomen 	 contradiction 
De zwangerschap werd gecompliceerd door de ontwikkeling van PIH en pre-eclampsie, waardoor de moeder werd opgenomen op [**3231-4-28**]. 	 De patiënt heeft hypertensie 	 neutral 
Knie extensie was 3 rechts en 4 links. 	 De patiënt heeft asymmetrische reflexen 	 entailment 
Knie extensie was 3 rechts en 4 links. 	 De patiënt heeft een normaal neurologisch onderzoek 	 contradiction 
Knie extensie was 3 rechts en 4 links. 	 De patiënt heeft normale UE reflexen 	 neutral 
Op de spoedafdeling waren de eerste vitale functies T 103,8 rectaal, P 100 BP 128/49 R 40 O2 79% op NRB. 	 De patiënt voldoet aan de SIRS criteria. 	 entailment 
Op de spoedeisende hulp waren de eerste vitale functies T 103,8 rectaal, P 100 BP 128/49 R 40 O2 79% op NRB. 	 De patiënt is afebrile. 	 contradiction 
Op de spoedafdeling waren de eerste vitale functies T 103,8 rectaal, P 100 BP 128/49 R 40 O2 79% op NRB. 	 De patiënt is septisch. 	 neutral 
Hij werd opgenomen in de OMED-dienst, waar ortho en rad-onc werden geraadpleegd. 	 De patiënt heeft een maligniteit. 	 entailment 
Hij werd opgenomen in de OMED-dienst, waar ortho en rad-onc werden geraadpleegd. 	 De patiënt heeft geen kanker. 	 contradiction 
Hij werd opgenomen in de OMED-dienst, waar ortho en rad-onc werden geraadpleegd. 	 De patiënt heeft een tumor die behandeld kan worden met bestralingstherapie. 	 neutral 
De geschiedenis van de moeder is ook opmerkelijk door de bevalling van een 26 weken oude zuigeling, 7 jaar geleden, bij wie neonatale enterocolitis op de Intensive Care werd vastgesteld. 	 Moeder heeft een geschiedenis van vroeggeboorte 	 entailment 
De geschiedenis van de moeder is ook opmerkelijk door de bevalling van een 26 weken oude zuigeling, 7 jaar geleden, bij wie neonatale enterocolitis op de Intensive Care werd vastgesteld. 	 De moeder is 7 jaar geleden bevallen van een voldragen kind. 	 contradiction 
De geschiedenis van de moeder is ook opmerkelijk door de bevalling van een 26 weken oude zuigeling, 7 jaar geleden, bij wie neonatale enterocolitis op de Intensive Care werd vastgesteld. 	 Voorgeschiedenis van premature bevalling van kind met ademhalingsmoeilijkheden 	 neutral 
De patiënt liep een scheur in haar voorhoofd op, die is gerepareerd. 	 de patiënt had een trauma 	 entailment 
De patiënt liep een scheur in haar voorhoofd op, die is gerepareerd. 	 de patiënt heeft geen trauma geschiedenis 	 contradiction 
De patiënt liep een scheur in haar voorhoofd op, die is gerepareerd. 	 de patiënt had een MVA 	 neutral 
Bloeddruk bleef normaal. 	 Bloeddruk was binnen de normale grenzen 	 entailment 
Bloeddruk bleef normaal. 	 Bloeddruk is hoog 	 contradiction 
Bloeddruk bleef normaal. 	 Vitale functies zijn normaal. 	 neutral 
Linker dijbeenlijn werd geplaatst. 	 De patiënt heeft een ventrale vasculaire toegang. 	 entailment 
Linker dijbeenlijn werd geplaatst. 	 De patiënt heeft geen intravasculaire toegang. 	 contradiction 
Linker dijbeenlijn werd geplaatst. 	 De patiënt is septisch. 	 neutral 
Alle bloedtesten die naar het lab zijn gestuurd zijn niet gestold. 	 Het bloed stolde niet. 	 entailment 
Alle bloedtesten die naar het lab zijn gestuurd zijn niet gestold. 	 Het bloed klonterde 	 contradiction 
Alle bloedtesten die naar het lab zijn gestuurd zijn niet gestold. 	 Het bloed hoefde niet opnieuw getrokken te worden 	 neutral 
Frequente infecties aan de bovenste luchtwegen 5. 	 De patiënt heeft een chronische aandoening 	 entailment 
Frequente infecties aan de bovenste luchtwegen 5. 	 De patiënt heeft geen significante PMH 	 contradiction 
Frequente infecties aan de bovenste luchtwegen 5. 	 Patiënt heeft cystic fibrosis 	 neutral 
Zij heeft ook een positieve troponine, maar had geen CP of ECG veranderingen en er werd geen ASA gegeven vanwege de bloeding. 	 De patiënt heeft een actieve bloeding. 	 entailment 
Zij heeft ook een positieve troponine, maar had geen CP of ECG veranderingen en er werd geen ASA gegeven vanwege de bloeding. 	 De patiënt heeft een STEMI. 	 contradiction 
Zij heeft ook een positieve troponine, maar had geen CP of ECG veranderingen en er werd geen ASA gegeven vanwege de bloeding. 	 De patiënt heeft coronaire hartziekte. 	 neutral 
Recente opnames volgens HPI: De patiënt is recent opgenomen geweest van [**2600-11-26**] tot [**2600-12-24**] voor resistente HSV c/b CHF-exacerbatie en aspergillus/enterobacter op BAL. 	 de patiënt heeft een voorgeschiedenis van CHF 	 entailment 
Recente opnames volgens HPI: De patiënt is recent opgenomen geweest van [**2600-11-26**] tot [**2600-12-24**] voor resistente HSV c/b CHF-exacerbatie en aspergillus/enterobacter op BAL. 	 de patiënt heeft geen hartgeschiedenis 	 contradiction 
Recente opnames volgens HPI: De patiënt is recent opgenomen geweest van [**2600-11-26**] tot [**2600-12-24**] voor resistente HSV c/b CHF-exacerbatie en aspergillus/enterobacter op BAL. 	 de patiënt heeft een voorgeschiedenis van hartchirurgie 	 neutral 
Bezorgdheid geuit over mogelijke constrictieve/restritieve pericarditis die sx'en veroorzaakt. 	 Patiënt heeft pijn op de borst 	 entailment 
Bezorgdheid geuit over mogelijke constrictieve/restritieve pericarditis die sx'en veroorzaakt. 	 De patiënt heeft geen symptomen 	 contradiction 
Bezorgdheid geuit over mogelijke constrictieve/restritieve pericarditis die sx'en veroorzaakt. 	 De patiënt heeft een abnormale CT van de borstkas 	 neutral 
Verhoogde transaminases, onbekende etiologie 5. 	 De patiënt heeft tekenen van hepatocellar beschadiging. 	 entailment 
Verhoogde transaminases, onbekende etiologie 5. 	 De patiënt heeft normale LFTs. 	 contradiction 
Verhoogde transaminases, onbekende etiologie 5. 	 De patiënt heeft een normale INR. 	 neutral 
Dit ziekenhuisverloop werd bemoeilijkt door een labiele vochtstatus, labiele kaliumwaarden variërend tussen 3,0 en 7,9 met daaropvolgende geassocieerde aritmieën, constipatie, en ook tijdens deze ziekenhuisopname had zij tracheostomiepijn secundair aan een ulcus posterieur van de trachea, die werd opgevat als een vroege tracheo-oesofageale fistel. 	 De patiënt is afhankelijk van tracheotomie. 	 entailment 
Dit ziekenhuisverloop werd bemoeilijkt door een labiele vochtstatus, labiele kaliumwaarden variërend tussen 3,0 en 7,9 met daaropvolgende geassocieerde aritmieën, constipatie, en ook tijdens deze ziekenhuisopname had zij tracheostomiepijn secundair aan een ulcus posterieur van de trachea, die werd opgevat als een vroege tracheo-oesofageale fistel. 	 De patiënt heeft geen pulmonale ondersteuning nodig. 	 contradiction 
Dit ziekenhuisverloop werd bemoeilijkt door een labiele vochtstatus, labiele kaliumwaarden variërend tussen 3,0 en 7,9 met daaropvolgende geassocieerde aritmieën, constipatie, en ook tijdens deze ziekenhuisopname had zij tracheostomiepijn secundair aan een ulcus posterieur van de trachea, die werd opgevat als een vroege tracheo-oesofageale fistel. 	 De patiënt loopt risico op decubitus stasis ulcera. 	 neutral 
EGD toonde geen bewijs van bloeding. 	 de patiënt heeft geen endoscopische aanwijzingen Gi bloeding 	 entailment 
EGD toonde geen bewijs van bloeding. 	 de patiënt heeft openhartig bloed bij endoscopisch onderzoek 	 contradiction 
EGD toonde geen bewijs van bloeding. 	 de patiënt heeft slokdarm varices 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 60-jarige man met een voorgeschiedenis van een linker heupprothese in [**2975**], blaaskanker en degeneratieve gewrichtsaandoeningen die zich op [**9-11**] in het [**Ziekenhuis3 **] Ziekenhuis meldde met nek- en rugpijn die een week aanhield en uitstraalde naar zijn benen en een puistachtige uitslag over zijn armen bilateraal en zijn linkerbeen. 	 De patiënt heeft meerdere medische problemen. 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 60-jarige man met een voorgeschiedenis van een linker heupprothese in [**2975**], blaaskanker en degeneratieve gewrichtsaandoeningen die zich op [**9-11**] in het [**Ziekenhuis3 **] Ziekenhuis meldde met nek- en rugpijn die een week aanhield en uitstraalde naar zijn benen en een puistachtige uitslag over zijn armen bilateraal en zijn linkerbeen. 	 De patient heeft geen voorgeschiedenis van kanker. 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 60-jarige man met een voorgeschiedenis van een linker heupprothese in [**2975**], blaaskanker en degeneratieve gewrichtsaandoeningen die zich op [**9-11**] in het [**Ziekenhuis3 **] Ziekenhuis meldde met nek- en rugpijn die een week aanhield en uitstraalde naar zijn benen en een puistachtige uitslag over zijn armen bilateraal en zijn linkerbeen. 	 De patiënt heeft een infectie. 	 neutral 
WBC 29,5 met negatieve UA en geen duidelijke PNA op CXR. 	 De patiënt heeft tekenen van een infectie. 	 entailment 
WBC 29,5 met negatieve UA en geen duidelijke PNA op CXR. 	 De patient heeft een normale CBC. 	 contradiction 
WBC 29,5 met negatieve UA en geen duidelijke PNA op CXR. 	 De patiënt heeft een occulte infectie. 	 neutral 
Volgens het verslag van de spoedafdeling was ze 24 tot 36 uur voordat ze gevonden werd gevallen en kon ze door zwakte niet opstaan. 	 De patiënt moet een CT hoofd hebben. 	 entailment 
Volgens het verslag van de spoedafdeling was ze 24 tot 36 uur voordat ze gevonden werd gevallen en kon ze door zwakte niet opstaan. 	 De patiënt heeft een normaal neurologisch onderzoek. 	 contradiction 
Volgens het verslag van de spoedafdeling was ze 24 tot 36 uur voordat ze gevonden werd gevallen en kon ze door zwakte niet opstaan. 	 De patiënt heeft een subduraal hematoom. 	 neutral 
Het geboortegewicht was 1135 gram, wat het 50e percentiel is bij 28-2/7 weken. 	 voortijdige geboorte 	 entailment 
Het geboortegewicht was 1135 gram, wat het 50e percentiel is bij 28-2/7 weken. 	 Volwassen geboorte 	 contradiction 
Het geboortegewicht was 1135 gram, wat het 50e percentiel is bij 28-2/7 weken. 	 cerebrale parese 	 neutral 
Van deze moeder is bekend dat ze een aanzienlijke ontwikkelingsachterstand heeft en momenteel in een [**Doctor Achternaam **] tehuis woont. 	 de patiënt heeft een mentale handicap 	 entailment 
Van deze moeder is bekend dat ze een aanzienlijke ontwikkelingsachterstand heeft en momenteel in een [**Doctor Achternaam **] tehuis woont. 	 de patiënt heeft normale cognitie 	 contradiction 
Van deze moeder is bekend dat ze een aanzienlijke ontwikkelingsachterstand heeft en momenteel in een [**Doctor Achternaam **] tehuis woont. 	 de patiënt heeft hersenverlamming 	 neutral 
Hij ontkent openlijke buikpijn of misselijkheid op die dag. 	 De patiënt gaf vandaag niet over. 	 entailment 
Hij ontkent openlijke buikpijn of misselijkheid op die dag. 	 De patiënt is actief aan het braken. 	 contradiction 
Hij ontkent openlijke buikpijn of misselijkheid op die dag. 	 De patiënt heeft geen acuut abdomen. 	 neutral 
De dochter van de patiënt is niet op de hoogte van PUD of CAD bij haar moeder. 	 geen bekende familiegeschiedenis van CAD 	 entailment 
De dochter van de patiënt is niet op de hoogte van PUD of CAD bij haar moeder. 	 de patiënt heeft een sterke familiegeschiedenis van CAD 	 contradiction 
De dochter van de patiënt is niet op de hoogte van PUD of CAD bij haar moeder. 	 de patiënt pijn op de borst heeft 	 neutral 
Op de vloer meldde hij dat hij zich "beroerd" voelde, maar ontkende andere klachten zoals hierboven. 	 Hij voelt zich niet goed. 	 entailment 
Op de vloer meldde hij dat hij zich "beroerd" voelde, maar ontkende andere klachten zoals hierboven. 	 Hij zegt dat hij zich normaal voelt 	 contradiction 
Op de vloer meldde hij dat hij zich "beroerd" voelde, maar ontkende andere klachten zoals hierboven. 	 Hij heeft griepachtige symptomen 	 neutral 
Aangebracht bij spontane vroeggeboorte. 	 de patiënt is in premature arbeid 	 entailment 
Aangebracht bij spontane vroeggeboorte. 	 de patiënt is voldragen 	 contradiction 
Aangebracht bij spontane vroeggeboorte. 	 de baby ligt in stuitligging 	 neutral 
Maar ondanks agressieve tocolytische behandeling, vorderde de bevalling. 	 De bevalling moest worden vertraagd of gestopt. 	 entailment 
Maar ondanks agressieve tocolytische behandeling, vorderde de bevalling. 	 De tocolytische behandeling heeft de bevalling gestopt. 	 contradiction 
Maar ondanks agressieve tocolytische behandeling, vorderde de bevalling. 	 De patiente is aan het bevallen. 	 neutral 
De patiënt werd met spoed naar de operatiekamer gebracht voor decompressie, in de veronderstelling dat hij een contusie van de halswervelkolom had opgelopen met daaropvolgende zwelling in de context van spinale stenose. 	 De patiënt heeft een trauma gehad 	 entailment 
De patiënt werd met spoed naar de operatiekamer gebracht voor decompressie, in de veronderstelling dat hij een contusie van de halswervelkolom had opgelopen met daaropvolgende zwelling in de context van spinale stenose. 	 De patiënt heeft een normale MRI wervelkolom 	 contradiction 
De patiënt werd met spoed naar de operatiekamer gebracht voor decompressie, in de veronderstelling dat hij een contusie van de halswervelkolom had opgelopen met daaropvolgende zwelling in de context van spinale stenose. 	 Patiënt heeft verlamming 	 neutral 
Apgar negen bij zeven en één minuut en acht bij vijf minuten. 	 de patiënt een pasgeborene is 	 entailment 
Apgar negen bij zeven en één minuut en acht bij vijf minuten. 	 de patiënt heeft lage APGAR scores 	 contradiction 
Apgar negen bij zeven en één minuut en acht bij vijf minuten. 	 de patiënt te vroeg is 	 neutral 
Tijdens die opname had de patiënt een geronnen AV-transplantaat waarvoor trombectomie nodig was. 	 de patiënt heeft nierziekte in het eindstadium 	 entailment 
Tijdens die opname had de patiënt een geronnen AV-transplantaat waarvoor trombectomie nodig was. 	 patiënt heeft normale nieren 	 contradiction 
Tijdens die opname had de patiënt een geronnen AV-transplantaat waarvoor trombectomie nodig was. 	 de patiënt heeft polycysteuze nierziekte 	 neutral 
Hij ontkent tekenen of symptomen van ischemie of andere ziekte in de dagen of weken die aan deze gebeurtenissen voorafgingen. 	 De patiënt is niet recent ziek geweest. 	 entailment 
Hij ontkent tekenen of symptomen van ischemie of andere ziekte in de dagen of weken die aan deze gebeurtenissen voorafgingen. 	 De patiënt heeft een recente longontsteking gehad. 	 contradiction 
Hij ontkent tekenen of symptomen van ischemie of andere ziekte in de dagen of weken die aan deze gebeurtenissen voorafgingen. 	 De patiënt heeft geen medische problemen. 	 neutral 
Deze hematurie werd geacht secundair te zijn aan een trauma van de Foley-katheter of recidiverende nefrolithiasis of tumor terwijl anticoagulatie werd toegepast. 	 de patiënt heeft hematurie 	 entailment 
Deze hematurie werd geacht secundair te zijn aan een trauma van de Foley-katheter of recidiverende nefrolithiasis of tumor terwijl anticoagulatie werd toegepast. 	 de patiënt heeft normale urine 	 contradiction 
Deze hematurie werd geacht secundair te zijn aan een trauma van de Foley-katheter of recidiverende nefrolithiasis of tumor terwijl anticoagulatie werd toegepast. 	 de patiënt heeft bloedarmoede 	 neutral 
Op de röntgenfoto van zijn borstkas was een infiltraat in de rechter middenkwab te zien, waarvoor hij onlangs in [**Ziekenhuis1 18**] was behandeld (opname tot [**3058-4-21**]). 	 De patiënt heeft een rechter middenkwab troebelheid op de röntgenfoto van de borst. 	 entailment 
Op de röntgenfoto van zijn borstkas was een infiltraat in de rechter middenkwab te zien, waarvoor hij onlangs in [**Ziekenhuis1 18**] was behandeld (opname tot [**3058-4-21**]). 	 De patiënt heeft een duidelijke röntgenfoto van de borst. 	 contradiction 
Op de röntgenfoto van zijn borstkas was een infiltraat in de rechter middenkwab te zien, waarvoor hij onlangs in [**Ziekenhuis1 18**] was behandeld (opname tot [**3058-4-21**]). 	 De patiënt heeft een rechter middenkwab longontsteking. 	 neutral 
Status van coronaire hartziekte na myocardinfarct zonder ST-elevatie in [**3059-5-3**], status na hartkatheterisatie met stentplaatsing in de linker anterieure afdalende slagader in 05/[**3059**]. 	 Patiënt heeft een NSTEMI gehad 	 entailment 
Status van coronaire hartziekte na myocardinfarct zonder ST-elevatie in [**3059-5-3**], status na hartkatheterisatie met stentplaatsing in de linker anterieure afdalende slagader in 05/[**3059**]. 	 De patiënt heeft normale troponines 	 contradiction 
Status van coronaire hartziekte na myocardinfarct zonder ST-elevatie in [**3059-5-3**], status na hartkatheterisatie met stentplaatsing in de linker anterieure afdalende slagader in 05/[**3059**]. 	 Patiënt heeft pijn op de borst 	 neutral 
Begonnen met prednison in [**maand (slechts) 496**] en gestopt met prednison taper 2 weken geleden. 	 De patiënt kreeg een kuur met steroïde medicatie 	 entailment 
Begonnen met prednison in [**maand (slechts) 496**] en gestopt met prednison taper 2 weken geleden. 	 De patiënt neemt momenteel Prednison 	 contradiction 
Begonnen met prednison in [**maand (slechts) 496**] en gestopt met prednison taper 2 weken geleden. 	 De patiënt heeft een geschiedenis van auto-immuunziekte 	 neutral 
De patiënt kreeg 1 g Dilantin toegediend en werd met medische spoed overgebracht naar [**ziekenhuis1 58**] voor verdere behandeling. 	 De patiënt kreeg een anticonvulsivum 	 entailment 
De patiënt kreeg 1 g Dilantin toegediend en werd met medische spoed overgebracht naar [**ziekenhuis1 58**] voor verdere behandeling. 	 De patiënt werd naar huis ontslagen 	 contradiction 
De patiënt kreeg 1 g Dilantin toegediend en werd met medische spoed overgebracht naar [**ziekenhuis1 58**] voor verdere behandeling. 	 De patiënt reageert niet. 	 neutral 
Later in het midden van [**maand (slechts) **] begon hij last te krijgen van middenvoorhoofdpijnen die uitstraalden naar zijn achterhoofd. 	 De patiënt heeft een neurologisch probleem. 	 entailment 
Later in het midden van [**maand (slechts) **] begon hij last te krijgen van middenvoorhoofdpijnen die uitstraalden naar zijn achterhoofd. 	 De patiënt heeft geen hoofdpijn. 	 contradiction 
Later in het midden van [**maand (slechts) **] begon hij last te krijgen van middenvoorhoofdpijnen die uitstraalden naar zijn achterhoofd. 	 De patiënt heeft migraine. 	 neutral 
Hij is ook licht in het hoofd en heeft oedeem aan de onderste ledematen. 	 de patiënt heeft oedeem aan de onderste ledematen 	 entailment 
Hij is ook licht in het hoofd en heeft oedeem aan de onderste ledematen. 	 de patiënt heeft normale ledematen 	 contradiction 
Hij is ook licht in het hoofd en heeft oedeem aan de onderste ledematen. 	 de patiënt heeft hartfalen 	 neutral 
Een voorafgaande leverbiopsie was consistent met GVHD, en zijn LFTs bleven verhoogd sinds het stopzetten van zijn TB-medicijnen. 	 De patiënt heeft transaminitis 	 entailment 
Een voorafgaande leverbiopsie was consistent met GVHD, en zijn LFTs bleven verhoogd sinds het stopzetten van zijn TB-medicijnen. 	 De patiënt heeft normale leverfunctietesten 	 contradiction 
Een voorafgaande leverbiopsie was consistent met GVHD, en zijn LFTs bleven verhoogd sinds het stopzetten van zijn TB-medicijnen. 	 De patiënt heeft een geschiedenis van secundaire tuberculose 	 neutral 
Ze is gestopt met haar Coumadin op [**3423-2-1**]. 	 De patient was aan de anticoagulatie. 	 entailment 
Ze is gestopt met haar Coumadin op [**3423-2-1**]. 	 De patiënt heeft een bloedingsstoornis. 	 contradiction 
Ze is gestopt met haar Coumadin op [**3423-2-1**]. 	 De patient heeft atriale fibrillatie. 	 neutral 
De cardiale en neurologische beoordeling van de systemen zijn negatief, hoewel de familie een recente verandering in zijn persoonlijkheid en een toegenomen alcoholgebruik heeft opgemerkt. 	 de patiënt geeft toe alcohol te gebruiken 	 entailment 
De cardiale en neurologische beoordeling van de systemen zijn negatief, hoewel de familie een recente verandering in zijn persoonlijkheid en een toegenomen alcoholgebruik heeft opgemerkt. 	 de patiënt ontkent alcohol 	 contradiction 
De cardiale en neurologische beoordeling van de systemen zijn negatief, hoewel de familie een recente verandering in zijn persoonlijkheid en een toegenomen alcoholgebruik heeft opgemerkt. 	 de patiënt is een alcoholist 	 neutral 
Hij begon doelbewuste bewegingen te maken en toen werden zijn polsslag gecontroleerd. 	 De patiënt werd gereanimeerd. 	 entailment 
Hij begon doelbewuste bewegingen te maken en toen werden zijn polsslag gecontroleerd. 	 De patiënt is gezond en in normale staat van gezondheid. 	 contradiction 
Hij begon doelbewuste bewegingen te maken en toen werden zijn polsslag gecontroleerd. 	 De patiënt had een hartstilstand. 	 neutral 
Hij kwam bij de Ed van [**Ziekenhuis1 52**] [**2972-3-31**] waar aanvankelijk VS 98,1, 75, 157/88, 18 en 100/RA. 	 patiënt heeft hypertensie 	 entailment 
Hij kwam bij de Ed van [**Ziekenhuis1 52**] [**2972-3-31**] waar aanvankelijk VS 98,1, 75, 157/88, 18 en 100/RA. 	 patiënt is hypoxisch 	 contradiction 
Hij kwam bij de Ed van [**Ziekenhuis1 52**] [**2972-3-31**] waar aanvankelijk VS 98,1, 75, 157/88, 18 en 100/RA. 	 patiënt heeft pijn op de borst 	 neutral 
Toen ze op de vloer kwam, bleek ze minder goed te reageren en moeilijk op te wekken. 	 de patiënt heeft een veranderde mentale status 	 entailment 
Toen ze op de vloer kwam, bleek ze minder goed te reageren en moeilijk op te wekken. 	 de patiënt is alert, bij bewustzijn en georiënteerd 	 contradiction 
Toen ze op de vloer kwam, bleek ze minder goed te reageren en moeilijk op te wekken. 	 de patiënt is hypoglycemisch 	 neutral 
Zijn gezicht was symmetrisch. 	 Geen hangend gezicht 	 entailment 
Zijn gezicht was symmetrisch. 	 Hij heeft een unilaterale ptosis 	 contradiction 
Zijn gezicht was symmetrisch. 	 Geen voorgeschiedenis van beroerte 	 neutral 
Macrocytaire anemie 13. 	 Een oorzaak van macrocytaire anemie is een tekort aan vitamine B12. 	 entailment 
Macrocytaire anemie 13. 	 De patiënt heeft een normaal hematocriet. 	 contradiction 
Macrocytaire anemie 13. 	 Patiënten met microcytaire anemie zijn alcoholisten. 	 neutral 
Intrapartum antimicrobiële profylaxe toegediend zes uur voor de bevalling. 	 De patient kreeg medicatie om permpartum infectie te voorkomen. 	 entailment 
Intrapartum antimicrobiële profylaxe toegediend zes uur voor de bevalling. 	 De patiënt is niet zwanger. 	 contradiction 
Intrapartum antimicrobiële profylaxe toegediend zes uur voor de bevalling. 	 De patiënt is groep B strep positief. 	 neutral 
Hij had ook buikpijn (die al enkele weken aanhield) en er werd een A/P CT gemaakt die een grote, complexe ventrale hernia toonde zonder bewijs van incarceratie, maar geen andere acute pathologie. . 	 De patiënt heeft een abdominale wandafwijking. 	 entailment 
Hij had ook buikpijn (die al enkele weken aanhield) en er werd een A/P CT gemaakt die een grote, complexe ventrale hernia toonde zonder bewijs van incarceratie, maar geen andere acute pathologie. . 	 De patiënt heeft een beknelde hernia. 	 contradiction 
